clubQid,name,country,decision,osmRef,reviewed,reason
Q7579573,ACS ARO Muscelul Câmpulung,RO,rejected,way/917440384,2026-09-26,"Batch A. Matched the stadium of Câmpulung Moldovenesc (Suceava) on the shared first word 'Câmpulung'; the club is Câmpulung Muscel (Argeș), 300+ km away. The club IS in the 2026-27 Liga III roster, so it still needs its real ground. Matcher bug 1, fixed the same day"
Q113577724,Cozia Călimănești,RO,rejected,way/654308449,2026-09-26,"Batch A. 'Teren de Fotbal Astra Răducaneni' is a pitch in Iași county next to a village also called Cozia; the club is from Călimănești (Vâlcea). Wikidata gives the club no town, so the wrong-town guard could not fire"
Q99447223,CS Avântul Periam,RO,rejected,way/1120064900,2026-09-26,"Batch A. Matched a stadium near Periam Port, a different village, on the shared first word 'Periam'. Matcher bug 1, fixed the same day"
Q20647345,Gilortul Târgu Cărbunești,RO,rejected,way/711933532,2026-09-26,"Batch A. Matched a stadium in Târgu Jiu, 20.8 km from Târgu Cărbunești, on the shared first word 'Târgu'. Matcher bug 1, fixed the same day"
Q66423321,Recolta Gheorghe Doja,RO,rejected,way/198144998,2026-09-26,"Batch A. Matched Stadionul Bucu near Gheorghe Lazăr, 25 km from Gheorghe Doja, on the shared first word 'Gheorghe'. The club IS in the 2026-27 Liga III roster, so it still needs its real ground. Matcher bug 1, fixed the same day"
Q55602926,Flacăra Horezu,RO,rejected,way/1557273661,2026-09-26,"Batch A. 'Sala de sport Treapt' is a sports hall tagged as a stadium, not a football ground. Matcher bug 2, fixed the same day"
Q130132765,Ciucaș Tărlungeni,RO,rejected,way/313816125,2026-09-26,"'Săcele F.C.' is the town of Săcele's own football pitch, 4.7 km from Tărlungeni - a nearby but distinct town's ground, not the club's"
Q130235234,Vulturul Mintiu Gherlii,RO,rejected,way/263510821,2026-09-26,"Stadionul Olimpia Gherla is the town of Gherla's own ground, 3.8 km from Mintiu Gherlii - a nearby but distinct town's ground, not the club's"
Q99446893,Minerul Ocna Dej,RO,rejected,way/271928305,2026-09-26,"The proposed stadium is the town of Dej's own ground; Ocna Dej is a separate place - a nearby but distinct town's ground, not the club's"
Q66423967,CSM Bacău,RO,rejected,,2026-09-26,"The club no longer exists: English Wikipedia 'CSM Bacău (football)' gives dissolved 2025 and 2024-25 Liga III Seria I, 3rd (withdrew); it is in no 2026-27 roster. The Hermannstadt pattern, not a coordinate question. The proposed ground (Stadionul Municipal Bacău, way/28742615) has also been closed and derelict since 2014, per Alexandru; its infobox gives Constantin Anghelache (en) or Letea Veche (ro) as its ground anyway"
Q130234819,CSM Adjud,RO,held,way/219491282,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. Not in any 2026-27 roster article this project reads"
Q106824323,Bradul Putna,RO,held,way/1106898340,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. NOTE: the club IS named by the 2026-27 Liga III article (roster-review.csv), so 'no roster behind it' does not hold for this one - worth a second look"
Q130235021,CIL Blaj,RO,held,way/200189719,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. Not in any 2026-27 roster article this project reads"
Q130234894,CS Gheorgheni,RO,held,way/210227759,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. Not in any 2026-27 roster article this project reads"
Q106824408,CSM Codlea,RO,held,way/179183675,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. Not in any 2026-27 roster article this project reads"
Q65122460,FC Ozana Târgu Neamț,RO,held,way/50071912,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. Not in any 2026-27 roster article this project reads"
Q66424055,Hușana Huși,RO,held,way/240128936,2026-09-26,"Batch D, held on Alexandru's instruction: the ground match looks solid and is kept as a lead, but no coordinates are added yet. Not in any 2026-27 roster article this project reads"
Q48844820,CS Blejoi,RO,held,node/156644124,2026-09-26,"Batch C, held on Alexandru's instruction: the ground match is kept as a lead, but no coordinates are added yet. Unnamed stadium 3.3 km from Blejoi. NOTE: the club IS in the 2026-27 Liga III roster"
Q55620895,CSO Filiași,RO,held,way/973480576,2026-09-26,"Batch C, held on Alexandru's instruction: the ground match is kept as a lead, but no coordinates are added yet. Stadionul Bâlta Filiași, 4.5 km out of town. NOTE: the club IS in the 2026-27 Liga III roster"
Q39058326,FC Pucioasa,RO,held,way/418363168,2026-09-26,"Batch C, held on Alexandru's instruction: the ground match is kept as a lead, but no coordinates are added yet. NOTE: the club IS in the 2026-27 Liga III roster, but the roster check labels this item 'FC Aninoasa' - if the club has moved to Aninoasa this Pucioasa pitch is the wrong ground"
Q55626258,Industria Galda de Jos,RO,held,way/548527488,2026-09-26,"Batch C, held on Alexandru's instruction: the ground match is kept as a lead, but no coordinates are added yet. Stadionul Galda de Jos. Not in any 2026-27 roster article this project reads"
Q113577655,Olimpic Zărnești,RO,rejected,way/1553597347,2026-09-26,"Re-examined 2026-09-26 on Alexandru's instruction; was held (Batch C). The proposed pitch is in the Zărnești of BUZĂU county (45.29N 26.88E). The club is the Zărnești of BRAȘOV county: the 2026-27 Liga III article lists it in Series II (as [[ASC Olimpic Zărnești]], a red link - which is why roster-review.csv never resolved it) and pins it at 45.5611/25.3152, the Brașov town. So this ground is 120 km off and rejected. The club IS playing and still unplaced: OpenStreetMap has several UNNAMED soccer pitches in the Brașov Zărnești (way/1051641317, way/1129557661, way/244099533 among them) and no source read ties the club to any one of them, so none was placed. No P576 on Q113577655"
Q130199486,Oltul Curtișoara,RO,rejected,way/1153194250,2026-09-26,"Re-examined 2026-09-26 on Alexandru's instruction; was held (Batch C). 'Teren de fotbal Moșteni' is not the club's ground. The club plays at Stadionul Tineretului in Curtișoara (Olt): the English article 'Tineretului Stadium (Curtișoara)' (Q131850846) names it as tenant since 2013 and gives 44°29'03.8""N 24°19'53.6""E, which is within about 10 m of OpenStreetMap way/659012696, an unnamed soccer pitch. The club is now placed there by a clubs-manual.csv row. NOTE: the 2026-27 Liga III article's map pin for this club (44.5121/23.9434) is on a different village also called Curtișoara, in Dolj county - a Wikipedia map error, not evidence"
Q66423594,Viitorul Ianca,RO,held,way/906509834,2026-09-26,"Batch C, held on Alexandru's instruction: the ground match is kept as a lead, but no coordinates are added yet. Unnamed stadium 3.6 km from Ianca. Not in any 2026-27 roster article this project reads"
Q55620741,Șoimii Lipova,RO,held,way/220265746,2026-09-26,"Batch C, held on Alexandru's instruction: the ground match is kept as a lead, but no coordinates are added yet. Unnamed stadium 0.7 km from Lipova. Not in any 2026-27 roster article this project reads"
