clubQid,club,team,scope,opponentQid,topic,season,rule,confidence,basis,ref,sourceRefs,source,checked,note
Q15786,1. FC Nürnberg,men,general,,sales-channel,,"Official channels are the FCN online ticket shop (ticket-onlineshop.com/ols/fcn), the ClubHaus at Josephsplatz 4, the ticket shop at Valznerweiherstr. 200, and the hotline 0911/940 79 888.",confirmed,published,N-1,N3,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/,2026-09-23,
Q15786,1. FC Nürnberg,men,general,,membership,,Membership is not required to buy. It gives the earliest window and EUR 1 off each ticket. Adult membership (21+) costs EUR 60/year; ages 7-20 pay EUR 40/year.,confirmed,published,N-4,N5;N6,https://fcn.de/der-club/fans-mitgliedschaft/mitgliedschaft/beitraege/;https://fcn.de/tickets/,2026-09-23,
Q15786,1. FC Nürnberg,men,general,,presale-rights,,Whether a brand-new member gets presale rights immediately or after a waiting period is not stated anywhere the PDF's author found.,unverified,unknown,N-5,,,2026-09-23,"An open question, not a rule. The PDF cites no source for it because it is a gap: nothing was found either way."
Q15786,1. FC Nürnberg,men,general,,fees,,Fees: EUR 2 per online booking; EUR 2 per ticket for matchday purchases at the stadium.,confirmed,published,N-6,N7,https://fcn.de/tickets/heimspiele/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/Preislisten_26-27.pdf,2026-09-23,
Q15786,1. FC Nürnberg,men,general,,update-tracking,,"The club runs a ticket newsletter that announces all presale starts, schedulings and ticket news. The per-game presale article on fcn.de ('Hier läuft der Vorverkauf') is updated for each home game.",confirmed,published,N-7,N3;N8,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/;https://fcn.de/tickets/ticket-newsletter-anmeldung/anmeldung/,2026-09-23,This is what the updateTracking cell of club-tickets.csv rests on.
Q15786,1. FC Nürnberg,men,general,,queue,,The online shop sends buyers through a virtual queue (waiting room).,unverified,unknown,N-8,,,2026-09-23,"The PDF marks this UNVERIFIED and says it was observed on 23 Sep 2026 - one sighting by the PDF's author, not a club statement. No source code is given."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,sector-separation,2025-26,"The derby has a DFB match classification that triggers full sector separation: no moving between Nordkurve, Gegengerade and other sectors, not even to the beer garden.",confirmed,published,N-9,N9,https://fcn.de/news/artikel/fuer-stadionbesucher-orga-hinweise-zum-275-frankenderby/,2026-09-23,"Read from the club's organisational notes for the December 2025 derby, so the season cell says 2025-26. Re-check for the 2026/27 home derby."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,personalisation,2025-26,No personalised tickets or ID checks were found for Nürnberg home derbies.,confirmed,published,N-10,N9,https://fcn.de/news/artikel/fuer-stadionbesucher-orga-hinweise-zum-275-frankenderby/,2026-09-23,"THE ABSENCE IS THE FACT. Unlike Inter, where named tickets are the general rule, the Nürnberg home derby is recorded here as not personalised. The PDF's wording is 'were found', so this is what was looked for and not seen."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,ticket-format,2025-26,Tickets are normal print@home or mobile-wallet tickets (no screenshots).,confirmed,published,N-10,N9,https://fcn.de/news/artikel/fuer-stadionbesucher-orga-hinweise-zum-275-frankenderby/,2026-09-23,
Q15786,1. FC Nürnberg,men,derby-away,Q153539,personalisation,,Personalisation (tickets only against ID) was found only at the Fürth-hosted leg.,confirmed,published,N-10,N10,https://nordbayern.de/sport/frankenderby-tickets-nur-gegen-ausweis-1.6510373,2026-09-23,"THE PDF'S OWN CAVEAT: the source is older and undated, so no season is written. The PDF tags N-10 as a whole VERIFIED; this part rests on one undated press article."
